gtin,product_id,price,price_per_unit,price_unit,description,review_count,availability,currency,sku,brand,weight,rating_score,condition,name,category
30152045,9019639,11.99,17.13,10ml,"Longwear liquid lipstick. Ultra-lightweight. Intense colour in one coat. Effortless and precise application. Transfer resistant.
Get an intense colour in one stroke with Infallible Matte Resistance longwear liquid lipstick. The ultra-lightweight, creamy formula provides a powdery matte finish that is comfortable all day long. With a precise applicator, lip contour is effortlessly defined. Lips appear smoother. Transfer proof and smudge resistant.",0,OutOfStock,£,1000383191935,L'Oreal Paris,7ml,0,NewCondition,L'Oreal Paris Infallible Matte Resistance Liquid Lipstick 200 Lipstick & Chill,Toiletries & Beauty
3600524076719,7618064,2.25,4.5,100ml,"Fights Odour. High Performance formula. Long lasting fragrance. Contains natural cedarwood essential oil.
L'Oréal Men Expert Barber Club Mens Deodorant fights against odour & marks with a high performance formula infused with natural cedarwood essential oil for long-lasting fragrance & a fresh scent.",3,InStock,£,1000383162553,L'Oreal,50ml,5,NewCondition,L'Oreal Men Expert Barber Club Deodorant Cedarwood Fragrance Roll-On,Toiletries & Beauty
3600523586417,5998245,5.25,1.05,100ml,"Fulfill Your Long Hair Goals: Elvive Dream Lengths Shampoo is our Restoring Shampoo for long hair. A creamy caring formula that works in affinity with the hair fibre from root to tip. Say goodbye to long and damaged lengths! Achieve your long hair goals with our long hair routine. Start with our Dream Lengths Shampoo followed by our Dream Lengths Conditioner, No Haircut Cream, Saviour Hair Mask and Frizz Killer Serum.Caring Formula: Dream Lengths Shampoo is enriched with a cocktail of vegetal keratin, hair vitamins and castor oil in a formula that will nourish long, damaged hair.Suitable for Long, Damaged Hair: This shampoo is ideal for long, damaged hair types. Enriched with Vegetal Keratin, it nourishes and helps strengthen lengths to prevent hair breakage*, whilst helping to restore a healthy look and luscious feel to the hair.Dreaming of beautiful long hair but struggling to achieve your dream lengths? Follow our secret to fulfil your long hair goals with L'Oreal Elvive Dream Lengths shampoo. Our Restoring and clarifying Shampoo, a creamy caring formula, works in affinity with the hair fibre from root to tip. Say goodbye to long and damaged hair!Our formula is enriched with a cocktail of:- Vegetal Keratin- Hair Vitamins- Castor OilIt nourishes and helps strengthen lengths to prevent hair breakage*, whilst helping to restore a healthy look and luscious feel to the hair.*Instrumental test after 10 applications.* Source: ©2020 Nielsen data, value and units, Haircare category (client defined) 52 w/e 16/05/20 in United Kingdom (GB+NI) Total Coverage. https://www.loreal-paris.co.uk/elviveno",106,InStock,£,1000009536122,L'Oreal Elvive,500ml,4.6321,NewCondition,L'Oreal Elvive Dream Lengths Shampoo for Long Damaged Hair,Toiletries & Beauty
3600524054663,9019678,8.99,21.4,10g,"Create expertly defined and sculpted brows. The formula fills the brows with a natural matte finish.
Introducing L'Oreal Paris Infallible 24H Brow Filling Triangular Pencil, our 1st retractable brow pencil for perfectly defined, fuller looking brows. Available in our largest shade range, so you can find your perfect match for natural-looking brows.",49,InStock,£,1000383192108,L'Oreal Paris,4.2g,4.5918,NewCondition,L'Oreal Paris Infallible 24H Brow Filling Triangular Pencil 3.0 Brunette,Toiletries & Beauty
3600522500728,7411332,5.25,1.31,100ml,"Revolution: FilloxaneA patented technology proven to:Penetrate deep within the fibreExpand & thicken hairThe formula remains in the fibre for a long lasting effectWhat if science could give you thicker hair than nature did?A breakthrough in the science of hair, L'Oréal Laboratories have created our 1st haircare range proven to give thicker hair wash after wash*.Specially developed with Filloxane, the shampoo formula together with the conditioner, thickens the hair fibres and provides deep cleansing.*Instrumental tests on sensitised hair with shampoo and conditioner",63,InStock,£,1000383110933,L'Oreal Elvive,400ml,4.4286,NewCondition,L'Oreal Elvive Fibrology Thickening Conditioner,Toiletries & Beauty
3600524121853,9088843,5,0.5,100ml,"High Performance: Jump start your morning and give you an instant wake-up effect.Shot of Energy: Enriched with 100mg of Taurine, an active ingredient that's like a shot of energy for your skin3-IN-1: See for body, face and hair keeping your morning routine simple.Fragrance: Hydra Energetic Shower Gel will leave your skin with a fresh and natural woody fragranceKickstart your morning routine with your shower wingman. Introducing the 1st Men Expert shower gel boosted with taurine. This ingredient, packed with vitamins, provides an energetic and explosive sensation when applied on skin. A shot of energy to provide men with the ideal morning pick-me up. Suitable for face, body and hair. Now in our largest XXL 1L size, in an easy to use pump format.",0,InStock,£,1000383219424,L 'Oreal,1l,0,NewCondition,L 'Oreal Men Expert Hydra Energetic Shower Gel Large XXL 1L,Toiletries & Beauty
3600523350148,5707491,5,10,100ml,"Anti wrinkle face cream specifically designed for 55-65 skin, for overnight restoration. Featuring calcium, known for its' skin-fortifying properties. Skin feels more elastic. Night cream moisturiser to restore and re-hydrate while you sleep. Dermatologically tested.
After the age of 55, the skin can lack vital nourishment, wrinkles become more apparent and skin feels dry. L'Oréal Paris Wrinkle Expert Anti Wrinkle Restoring Night Cream 55+, addresses these specific mature skin needs.Triple Action:1. Replumps WrinklesReplumps skin with moisture. Wrinkles appear reduced. Skin looks firmer.2. Redensifies SkinSkin density appears improved.3. Restores ContoursFacial contours appear more defined and wrinkles reduced in 3 weeks.Clinically proven resultsSkin appears less marked on awakening for 82% of women*Facial contours look more defined for 70% of women**consumer test, 49 women",12,InStock,£,910002966051,L'Oreal Paris,50ml,4.1667,NewCondition,L'Oreal Paris Wrinkle Expert 55+ Calcium Night Cream,Toiletries & Beauty
3600524078263,7572163,6,3,100ml,"""Hyaluronic Acid, for your hair. Transform dehydrated hair in 8 seconds with NEW Elvive Hydra [Hyaluronic] 8 Second Wonder Water from L'Oréal Paris. A skincare-inspired rinse-out liquid conditioner with Hyaluronic Acid. It's an 8 second hydration transformation for up to 18x more hydration¹. Hair looks plumped, bouncy and up to 5x shinier².The ultra-lightweight, silicone-free formula is powered by breakthrough Lamellar Water Technology and infused with a shot of Hyaluronic Acid. It forms a film of care around the fibre to smooth hair and maintain a healthy look. Hair is visibly transformed with an instant and intense feeling of hydration, a glassy shine, and a silky touch. It works wonders in just 8 seconds.Effective on all hair types, ranging from thin, fine to thick, curly textures. Scientifically designed for dry, damaged, and dehydrated hair. The silicone-free formula provides no weigh-down, even for ultra-fine hair.¹Instrumental wet combing test.²Instrumental test.""""Up to 18x more hydration¹Plumped, bouncy and 5x shinier² hair""",426,InStock,£,1000383152102,L'Oreal Elvive,200ml,4.662,NewCondition,L'Oreal Elvive Hydra 8 Second Wonder Water with Hyaluronic Acid for Dehydrated Hair,Toiletries & Beauty
5011408062311,902089,3.5,2.33,100ml,"Remix fibre-putty. Unlimited reshaping.
L'Oreal Studio Line Remix Fibre Putty allows you to create a natural looking texturised effect.  This putty is ideal for short styles and does not harden.  It can be reworked and remoulded until you get the textured effect you want.",2,InStock,£,454117,L'Oreal,150ml,5,NewCondition,L'Oreal Studio Line Spec FX Hair Remix Pot,Toiletries & Beauty
3600520987835,3569464,10,10,each,"Crème formula helps to blends away grey hair for a natural-looking colour. Leaves your hair full of visible shimmering tones. Includes nourishing conditioner with goji extract. No ammonia formula for a pleasant smell. Colour lasts up to 28 shampoos. For dark blonde and brown.
Achieve natural-looking colour with visible shimmering tones using Casting Crème Gloss. The no-ammonia crème formula blends away grey hair, and provides a luscious smell. Colour lasts up to 28 shampoos.After colouring, the conditioner is enriched with goji extract that reveals the beautiful radiant red tones of your hair. It leaves your hair soft and voluptuous with an exceptional shine.",209,InStock,£,910000432800,L'Oreal Casting,each,3.9665,NewCondition,L'Oreal Casting Creme Gloss 645 Amber Semi Permanent Hair Dye,Toiletries & Beauty
5011408027976,5348118,7.5,1.88,100ml,"Up to 24H normal hold. Iconic micro diffuser hairspray. Gives natural hair movement and shine. Protects your style against the effects of humidity. Brush out for hair that feels clean and ready to restyle. No stiffness, stickiness or visible residue.
Elnett is L'Oréal Paris' most iconic brand used by the finest stylists. Styling women for generations, the gold can has always been at the heart of great style.Achieve your desired hairstyle with Elnett Normal Hold Hairspray. The iconic micro diffuser hairspray sprays so fine and gives natural hair movement and shine with no stiffness, stickiness or visible residue.Protects your style against the effects of humidity and gives up to 24H normal hold. Disappears at the stroke of a brush leaving hair feeling clean and ready to restyle without needing to wash it.",170,InStock,£,910002276010,L'Oreal Elnett,400ml,4.7941,NewCondition,L'Oreal Elnett Normal Strength Hairspray,Toiletries & Beauty
3600523591831,6345075,12.95,20.56,10g,"95% agree it lasts all day. 82% saw intensified and longer lashes. 89% agree it doesn't flake or smudge.
Take your lashes to paradise with New Paradise Waterproof Mascara for intense volume, spectacular length and all-day hold. The Ultra-Soft brush coats lashes with a silky-smooth formula, enriched with lash-loving castor oil. Lashes feel feather-soft, without any flaking or smudging. Soft-whipped waterproof formula holds lashes in a curl that lasts all day.",71,InStock,£,1000116564085,L'Oreal,6.3g,4.0986,NewCondition,L'Oreal Paris Paradise Mascara Waterproof Black,Toiletries & Beauty
3600523524037,5979365,2.5,0.833,100ml,"Britain's No.1 for Coloured Hair*: Coloured or highlighted hair? Try Britain's No.1 brand for coloured hair* Elvive Colour Protect. Our best shampoo for coloured hair, this range will protect colour vibrancy for up to 10 weeks**.Caring Formula: enriched with red peony and UV filters that works in affinity with the hair fibre from root to tip Elvive Colour Protect shampoo will nourish, revive and protect coloured hair. It helps protect your colour for up to 10 weeks***.Suitable for Coloured or Highlighted Hair: Ideal for coloured hair types. Elvive Colour Protect shampoo protects hair against external aggressions and prolongs colour vibrancy**.Blonde, Highlighted or Silver Hair? This range of shampoo works together with our Purple Anti-Brassiness range. Elvive purple shampoo helps to neutralise brassy tones and leave hair looking beautiful and bright. Use as a weekly treatment alongside your daily Colour Protect routine.L'Oreal Shampoo by Elvive Colour Protect for Coloured or Highlighted Hair - Coloured or highlighted hair? Try Britain's No.1 brand for coloured hair* L'Oreal Elvive Colour Protect. Elvive Colour Protect caring shampoo is our best shampoo for coloured hair, enriched with red peony and UV filters, it works in affinity with the hair fibre from root to tip to nourish, revive and protect coloured hair:- Helps protect your colour for up to 10 weeks***.- Protects hair against external aggressions.- Elvive colour protect shampoo prolongs colour vibrancy**- Suitable for coloured or highlighted hair. - Use Elvive Colour Protect Shampoo as part of your full colour protection hair routine, followed by Colour Protect Conditioner, Mask and UV Oil. Apply Colour Protect Shampoo on wet hair, focusing on lengths and ends. Leave for one minute, then rinse. Follow with L'Oreal Colour Protect Conditioner. In case of contact with eyes, rinse them immediately and thoroughly.* Source: ©2020 Nielsen data, value and units, Haircare category (client defined) 52 w/e 16/05/20 in United Kingdom (GB+NI) Total Coverage. https://www.loreal-paris.co.uk/elviveno1*©2018 Nielsen data, value & units, Haircare (client defined) 52 w/e 06/10/18 GB Total Coverage**Consumer test on 170 women after application of the Colour Protect Shampoo & conditioner. ***Instrumental test after application of the Colour Protect Shampoo, conditioner and Extraordinary Oil for Coloured Hair.",281,InStock,£,1000005550685,L'Oreal Elvive,300ml,4.6726,NewCondition,L'Oreal Elvive Colour Protect Coloured Hair Shampoo,Toiletries & Beauty
3600523718269,6308814,3,3,100ml,"Enriched with vitamin C and guarana for an energy boost when tired. Deeply cleanses skin with a foaming gel. Instant wake up effect for use every morning.
Use daily alongside the Men Expert Anti-Fatigue Moisturiser for skin that looks wide awake!The No.1 Men's face care brand worldwide*. *©Nielsen Data, Male Face Care, value + unit sales, 52 w/e January 2019. Verify @ loreal-paris.co.uk/menexpertno1Discover Hydra Energetic daily face wash designed to cleanse and energise men's skin. The formula helps cleanse pores and has an instant wakeup effect on the skin.",129,InStock,£,1000103174933,L'Oreal Men Expert,100ml,4.7597,NewCondition,L'Oreal Men Expert Hydra Energetic Anti-Fatigue Face Wash,Toiletries & Beauty
3600523201310,7213252,16.5,110,100ml,"Reduces the appearance of wrinkles. Featuring Hyaluronic Acid. Replumps the hollow tear area. Innovative precision eye applicator. Dermatologically tested.
Revitalift Filler Renew Eye Cream contains the highest concentration of Hyaluronic Acid ever formulated in a L'Oréal Paris eye cream.Fills wrinkles and replumps the hollow tear area: With daily use eye bags appear reduced and contours look smoother, fuller. Innovative precision eye applicator with cooling effect;One curved side that perfectly follows the tear trough: the hollow of the under eye contour area.One flat side to massage and reduce the appearance of eye bags as the cooling applicator hydrates the skin, leaving it feeling refreshed.Visible ResultsIn 4 hours, the skin is perfectly hydrated. It feels more toned (+25%) and firmer (+24%).*Crow's feet wrinkles appear reduced (-11%)** and the eye contour area looks less hollow (-10%)***. *Instrumental test 40 women, ** Clinical scoring 58 women, *** Clinical scoring 40 womenL'Oréal are removing the cellophane wrapper from the packaging of all L'Oréal Paris skincare products as part of efforts to reduce the use of plastic without compromising the quality of L'Oréal packaging.",44,InStock,£,1000337457279,L'Oreal Paris,15ml,4.6818,NewCondition,L'Oreal Paris Revitalift Filler Renew Filler Precision Eye Cream,Toiletries & Beauty
3600522031512,3990736,12,12,each,"Up to 8 weeks of fade-defying colour. Lustrous day-1 colour and shine. Ultra-intense.
L'Oreal Paris Preference, the expert of permanent, fade-defying luminous hair colour. Our translucent gel technology together with our precious shine oil give the ultimate luminous colour full of reflects. Use the shine protect conditioner enriched with a UV filter and Vitamin E derivative to preserve the shine of your coloured hair for up to 8 weeks. Our Shine Oil is enriched with precious flower oils to intensify the natural tones of your hair colour. Infused with a sensorial fragrance for an improved experience at application. Be colour safe and always do your 48-hour patch test. Born in the 1970's, Preference has over 50 years of creating at home hair colour proven to give you a fade defying- multi-tonal colour result. The iconic ‘You're Worth It' tagline was created for Preference 50 years ago and still to this day remains at the heart of the brand. Be colour safe and always do your 48 hour patch test.",950,InStock,£,910000833534,L'Oreal Preference,each,4.2042,NewCondition,L'Oreal Preference Infinia 4.01 Paris Natural Dark Brown Hair Dye,Toiletries & Beauty
3600523437764,5814026,8.95,1.57,10g,"Silky & super blendable texture. Natural, radiant finish. Formula powered by hyaluronic acid. Smooths & improves skin texture & softness over time. Enriched with mineral pigments.
This silky, soft textured powder perfectly matches the colour and texture of your skin for a radiant, natural finish. The micro-fine formula lets you apply a translucent layer or build up more intense coverage to even your skin tone and cover imperfections. It blends so seamlessly it is almost as if you are not wearing make-up. And now, this formula is infused with hyaluronic acid! It provides skincare benefits as it helps to smooth and improve skin texture and softness over time.",0,InStock,£,910003126562,L'Oreal,57g,0,NewCondition,L'Oreal True Match Powder W8 Golden Cappuccino,Toiletries & Beauty
5011408061581,937819,2.5,1.25,100ml,"A refreshing, energising toner especially designed for 55+, post menopausal skin. Toner with essential nutrients, vitamin B5 and vitamin C. Use after cleansing to invigorate skin and reduce signs of fatigue. With continuous use skin feels smooth, refreshed and radiant. Ultra-invigorating formula enriched with Vitamin C and Magnesium.
This ultra-invigorating formula enriched with Vitamin C and Magnesium known for their revitalising properties exfoliates, smooths, and energizes the skin, reducing signs of fatigue. Clinically Proven Results:- Invigorates and tones skin. Helps to reduce signs of fatigue.Continuous Daily Use:- Skin feels smooth, refreshed, and radiant.Key Ingredients:Enriched with Essential Nutrients: Energising toner with Vitamin C and Vitamin B5 to enrich mature skin with nutrients.",58,InStock,£,468919,L'Oreal Paris,200ml,4.6034,NewCondition,L'Oreal Paris Age Perfect Toner,Toiletries & Beauty
3600522416906,4297709,7.5,15,100ml,"Also firms for younger looking skin. First visible results in just 7 days. With pro-retinol A + fibrelastyl. Advanced UVA / UVB protection, SPF30. Protects against dark spots.
Want glowing skin with wrinkles reduced? Revitalift is formulated with pro retinol, to reduce the appearance of wrinkles and help skin achieve a healthy looking glow.Suitable for any skin with anti-wrinkle needs, but especially recommended for ages 35-55. Over 55? Try L'Oreal Age Perfect rangeAdvanced Pro-RetinolPowerful dermatologist-inspired anti-wrinkle ingredient. Helps smooth skin's surface.FibrelastylFirming complex. Helps reinforce skin elasticity for extra-firm skin.UVA/UVB ProtectionBroad spectrum filters that prevent the appearance of wrinkles and age spots caused by UV rays.Immediately, skin is protected, more toned and hydrated.In 4 weeks, wrinkles appear reduced. Crow's feet (-20%*), skin complexion looks more even** and skin feels firmer**.*Instrumental test on 39 women **Self-assessment on 47 women after 4 weeks.Discover a luxurious anti-wrinkle and firming cream with SPF. Formulated with Pro-Retinol, to reduce the appearance of wrinkles and help skin achieve a healthy looking glow. Now with SPF30 to shield and protect.L'Oreal Paris Revitalift Anti Wrinkle Face Cream moisturises and firms for younger looking, healthier skin.",149,InStock,£,910001067000,L'Oreal Paris,50ml,4.2416,NewCondition,L'Oreal Paris Revitalift SPF 30 Moisturiser Day Cream,Toiletries & Beauty
3600523337729,5843154,10,10,each,"The world's number 1 root concealer brand*, perfectly covers grey hair. Match and blend Magic Retouch root concealer spray instantly. Suitable for people who use permanent hair dye or semi permanent hair dye and can be matched with your hair colour, even salon colour, for a natural looking finish.Why Magic? This hair spray is simple and quick to use, especially when in a rush or on the go. Having a last minute emergency? Our 75ml Magic Retouch root concealer is easy to carry around in your handbag and is also cabin approved so perfect for when you travel. This low commitment spray is ideal for those in need of a quick fix between home colourings and salon appointments or sudden appearance of grey hair.Formula: Temporary, lightweight formula created for all hair types that perfectly conceals your grey hair and blends to match with your hair colour. Product lasts until washed out with shampoo and only a small amount is required. can be used for up to 25 uses.How to Use? Transform your grey hair instantly in 3 seconds. Hold the can 10-15cm from hair and spray roots in a light stream. Allow 1 minute to dry before achieving your perfect look. Magic Retouch covers grey hair quickly and efficiently.Why Not Try? Perfectly conceal grey roots by matching your hair colour to one of 9 shades, ranging from Blonde, Brown to Black. Don't forget Magic Retouch Precision Brush, our instant grey concealer for temples and scattered greys. For optimal results use both Magic Retouch and Magic Retouch Precision Brush to cover grey hair. Use alongside our box colour range: Casting Creme Gloss, Excellence and Preference. This product is intended for use on grey hairs. If you are suffering from hair loss or alopecia please speak to your GP as it is a medical condition.Hair emergency? This low commitment hair spray is ideal for those in need of a quick fix between home colourings and salon appointmentsThe world's number 1 root concealer brand*, perfectly covers grey hair. Suitable for people who use permanent or semi-permanent hair dye and can be matched with your hair colour, even salon colour, for a natural looking finish. Having a last minute emergency? Our 75ml Magic Retouch root concealer is easy to carry around in your handbag and is also cabin approved so perfect for when you travel. This low commitment spray is ideal for those in need of a quick fix between home colourings and salon appointments or sudden appearance of grey hair. The pinpoint micro-diffuser targets greys and the temporary, lightweight formula matches seamlessly with your hair colour. Product lasts until washed out with shampoo and only a small amount is required. Perfectly conceal grey roots by matching your hair colour to one of 9 shades, ranging from Blonde, Brown to Black. Don't forget Magic Retouch Precision Brush, our instant grey concealer for temples and scattered greys. For optimal results use both Magic Retouch and Magic Retouch Precision Brush to cover grey hair. Use alongside our box colour range: Casting Creme Gloss, Excellence and Preference.*Source: ©2018 Nielsen Data, value and unit sales, Hair Colour - 52 w/e December 2018. 40 Countries* covered accounting for 85% world GNI https://www.loreal-paris.co.uk/magic1",1051,InStock,£,1000000984673,L'Oreal Magic Retouch,each,4.1484,NewCondition,L'Oreal Magic Retouch Instant Root Concealer Spray Medium Iced Brown,Toiletries & Beauty
3600522230991,3944293,5.25,1.05,100ml,"Repairing conditioner for damaged hair. Advanced formula that reinforces weak, limp and damaged hair.
Even more concentrated with Pro-Keratin and enriched with Ceramide, a replica of hair's natural cementFormula restores smoothness to the hair fibre, leaving it soft to the touch with a healthy looking shineThe science of weak, limp, damaged hairDaily wear and tear can break up the hair's surface and weaken the fibre. Hair becomes weak, looking limp and lifeless, dull and straw-like.The secret to hair Mojo 5 problems, 1 solution1 ReinforcingEnriched with Pro-Keratin, the conditioning formula reinforces each hair fibre to give it strength to resist daily wear and tear.2 Re-surfacingEnriched with Ceramide, a replica of hair's natural cement, the formula restores smoothness to the hair fibre, leaving it soft to the touch with a healthy looking shine.Proven results1 Strength* 2 Density 3 Vitality 4 Shine 5 SilkinessDetangles instantly, without leaving residue*Lab test shampoo + conditioner vs. classic shampoo.Source: ©2020 Nielsen data, value and units, Haircare category (client defined) 52 w/e 16/05/20 in United Kingdom (GB+NI) Total Coverage. https://www.loreal-paris.co.uk/elviveno1",56,OutOfStock,£,910000801264,L'Oreal Elvive,500ml,4.7321,NewCondition,L'Oreal Elvive Full Restore 5 Damaged Hair Conditioner,Toiletries & Beauty
